product_variation,quantity,list_price,price,currency_code
DCHOODIE-BLU-SM,1,,52,USD
DCHOODIE-BLU-MD,1,,52,USD
DCHOODIE-BLU-LG,1,,52,USD
DCHOODIE-GRE-SM,1,,52,USD
DCHOODIE-GRE-MD,1,,52,USD
DCHOODIE-GRE-LG,1,,52,USD
Chloe-EDP-50,1,,150,USD
Dior-MDEDT-50,1,,150,USD
NC-Inc-5pk-Brushes,1,,25,USD
Favorit-VintageTypewriter,1,,149.99,USD
GoPro-HS5,1,,250,USD
Kodak-CP200,1,,10,USD
Level-HP-Black,1,,49.99,USD
Polaroid-Pronot600,1,,99.99,USD
Sonos-WS001,1,,349.99,USD
Fawkestrooper-36x24,1,,50,USD
Flowers-001,1,,41,USD
FoggyForest-24x36,1,,41,USD
HidingGoat-24x30,1,,38,USD
HotAirBalloon-24x36,1,,35,USD
MoonOverMountains-24x36,1,,35,USD
NightCity-24x36,1,,50,USD
Palms-24x36,1,,62,USD
Seagulls-36x24,1,,42,USD
Splatter-24x36,1,,27,USD
Basics-AlarmClock-1,1,,15,USD
GH-CampingMug-001,1,,20,USD
HC-FuelMug-1,1,,20,USD
HC-EatWellCup-1,1,,20,USD
Jrink-Green1,1,,10,USD
MF-PinkPot-001,1,,39,USD
MF-TeardropVase-001,1,,49.99,USD
MF-WhiteWoodChair-001,1,,249.99,USD
PC-WriteIdeas-NB-001,1,,15,USD
PT-Classic36-001,1,,12.99,USD
PT-GiganticFlamingo-001,1,,49.99,USD
PT-ClocheVase-001,1,,35.99,USD
WoodCo-BBS-001,1,,99.99,USD
WoodCo-BlueBowl-001,1,,24.99,USD
HerschelSupply-MB-RedBlue,1,,99,USD
MM-GoldRim-001,1,,14.99,USD
MVMT-WhBr-001,1,,99.99,USD
NYT-CocoaFedora-001,1,,35,USD
Vinta-BP-001,1,,64.99,USD
Hers-PlBP-001,1,,29.99,USD
Hers-RCG-001,1,,14.99,USD
LAB-WatermelonTote-001,1,,25,USD
UT-KnitHat-Green,1,,25,USD
UT-KnitHat-MNPlum,1,,25,USD
