product_variation,quantity,list_price,price,currency_code
DCHOODIE-BLU-SM,1,,52,GBP
DCHOODIE-BLU-MD,1,,52,GBP
DCHOODIE-BLU-LG,1,,52,GBP
DCHOODIE-GRE-SM,1,,52,GBP
DCHOODIE-GRE-MD,1,,52,GBP
DCHOODIE-GRE-LG,1,,52,GBP
Chloe-EDP-50,1,,150,GBP
Dior-MDEDT-50,1,,150,GBP
NC-Inc-5pk-Brushes,1,,25,GBP
Favorit-VintageTypewriter,1,,149.99,GBP
GoPro-HS5,1,,250,GBP
Kodak-CP200,1,,10,GBP
Level-HP-Black,1,,49.99,GBP
Polaroid-Pronot600,1,,99.99,GBP
Sonos-WS001,1,,349.99,GBP
Fawkestrooper-36x24,1,,50,GBP
Flowers-001,1,,41,GBP
FoggyForest-24x36,1,,41,GBP
HidingGoat-24x30,1,,38,GBP
HotAirBalloon-24x36,1,,35,GBP
MoonOverMountains-24x36,1,,35,GBP
NightCity-24x36,1,,50,GBP
Palms-24x36,1,,62,GBP
Seagulls-36x24,1,,42,GBP
Splatter-24x36,1,,27,GBP
Basics-AlarmClock-1,1,,15,GBP
GH-CampingMug-001,1,,20,GBP
HC-FuelMug-1,1,,20,GBP
HC-EatWellCup-1,1,,20,GBP
Jrink-Green1,1,,10,GBP
MF-PinkPot-001,1,,39,GBP
MF-TeardropVase-001,1,,49.99,GBP
MF-WhiteWoodChair-001,1,,249.99,GBP
PC-WriteIdeas-NB-001,1,,15,GBP
PT-Classic36-001,1,,12.99,GBP
PT-GiganticFlamingo-001,1,,49.99,GBP
PT-ClocheVase-001,1,,35.99,GBP
WoodCo-BBS-001,1,,99.99,GBP
WoodCo-BlueBowl-001,1,,24.99,GBP
HerschelSupply-MB-RedBlue,1,,99,GBP
MM-GoldRim-001,1,,14.99,GBP
MVMT-WhBr-001,1,,99.99,GBP
NYT-CocoaFedora-001,1,,35,GBP
Vinta-BP-001,1,,64.99,GBP
Hers-PlBP-001,1,,29.99,GBP
Hers-RCG-001,1,,14.99,GBP
LAB-WatermelonTote-001,1,,25,GBP
UT-KnitHat-Green,1,,25,GBP
UT-KnitHat-MNPlum,1,,25,GBP
